strategy,scenario,municipalities,capacity_margin
Hybrid,Scenario 1 (30 Mbps),Lansingerland,61318.44057
Small Cells,Scenario 1 (30 Mbps),Lansingerland,60036.67679
Spectrum Integration,Scenario 1 (30 Mbps),Lansingerland,-5884.734144
Hybrid,Scenario 2 (100 Mbps),Lansingerland,37773.09358
Small Cells,Scenario 2 (100 Mbps),Lansingerland,36841.8104
Spectrum Integration,Scenario 2 (100 Mbps),Lansingerland,-30631.62806
Hybrid,Scenario 3 (300 Mbps),Lansingerland,7665.39297
Small Cells,Scenario 3 (300 Mbps),Lansingerland,7414.92561
Spectrum Integration,Scenario 3 (300 Mbps),Lansingerland,-101337.0393
Hybrid,Scenario 1 (30 Mbps),Laren,11404.76013
Small Cells,Scenario 1 (30 Mbps),Laren,11161.1237
Spectrum Integration,Scenario 1 (30 Mbps),Laren,-1367.424048
Hybrid,Scenario 2 (100 Mbps),Laren,6117.659015
Small Cells,Scenario 2 (100 Mbps),Laren,5874.022583
Spectrum Integration,Scenario 2 (100 Mbps),Laren,-6654.525168
Hybrid,Scenario 3 (300 Mbps),Laren,0
Small Cells,Scenario 3 (300 Mbps),Laren,0
Spectrum Integration,Scenario 3 (300 Mbps),Laren,-21760.52837
Hybrid,Scenario 1 (30 Mbps),Leek,-1722.02367
Small Cells,Scenario 1 (30 Mbps),Leek,-2094.73965
Spectrum Integration,Scenario 1 (30 Mbps),Leek,-1722.02367
Hybrid,Scenario 2 (100 Mbps),Leek,-9005.66577
Small Cells,Scenario 2 (100 Mbps),Leek,-9378.38175
Spectrum Integration,Scenario 2 (100 Mbps),Leek,-9005.66577
Hybrid,Scenario 3 (300 Mbps),Leek,-29816.07177
Small Cells,Scenario 3 (300 Mbps),Leek,-30188.78775
Spectrum Integration,Scenario 3 (300 Mbps),Leek,-29816.07177
Hybrid,Scenario 1 (30 Mbps),Leerdam,28569.80799
Small Cells,Scenario 1 (30 Mbps),Leerdam,28062.04611
Spectrum Integration,Scenario 1 (30 Mbps),Leerdam,-1629.842457
Hybrid,Scenario 2 (100 Mbps),Leerdam,31642.37117
Small Cells,Scenario 2 (100 Mbps),Leerdam,31353.33753
Spectrum Integration,Scenario 2 (100 Mbps),Leerdam,-10191.26346
Hybrid,Scenario 3 (300 Mbps),Leerdam,19981.94477
Small Cells,Scenario 3 (300 Mbps),Leerdam,19692.91113
Spectrum Integration,Scenario 3 (300 Mbps),Leerdam,-34869.59226
Hybrid,Scenario 1 (30 Mbps),Leeuwarden,-11031.56796
Small Cells,Scenario 1 (30 Mbps),Leeuwarden,-13248.63624
Spectrum Integration,Scenario 1 (30 Mbps),Leeuwarden,-11031.56796
Hybrid,Scenario 2 (100 Mbps),Leeuwarden,-56124.00612
Small Cells,Scenario 2 (100 Mbps),Leeuwarden,-58341.0744
Spectrum Integration,Scenario 2 (100 Mbps),Leeuwarden,-56124.00612
Hybrid,Scenario 3 (300 Mbps),Leeuwarden,-184959.5437
Small Cells,Scenario 3 (300 Mbps),Leeuwarden,-187176.612
Spectrum Integration,Scenario 3 (300 Mbps),Leeuwarden,-184959.5437
Hybrid,Scenario 1 (30 Mbps),"Leeuwarden,Leeuwarderadeel",-13.84812
Small Cells,Scenario 1 (30 Mbps),"Leeuwarden,Leeuwarderadeel",-35.50716
Spectrum Integration,Scenario 1 (30 Mbps),"Leeuwarden,Leeuwarderadeel",-13.84812
Hybrid,Scenario 2 (100 Mbps),"Leeuwarden,Leeuwarderadeel",-235.92816
Small Cells,Scenario 2 (100 Mbps),"Leeuwarden,Leeuwarderadeel",-257.5872
Spectrum Integration,Scenario 2 (100 Mbps),"Leeuwarden,Leeuwarderadeel",-235.92816
Hybrid,Scenario 3 (300 Mbps),"Leeuwarden,Leeuwarderadeel",-870.44256
Small Cells,Scenario 3 (300 Mbps),"Leeuwarden,Leeuwarderadeel",-892.1016
Spectrum Integration,Scenario 3 (300 Mbps),"Leeuwarden,Leeuwarderadeel",-870.44256
Hybrid,Scenario 1 (30 Mbps),Leeuwarderadeel,-1099.50708
Small Cells,Scenario 1 (30 Mbps),Leeuwarderadeel,-1377.46476
Spectrum Integration,Scenario 1 (30 Mbps),Leeuwarderadeel,-1099.50708
Hybrid,Scenario 2 (100 Mbps),Leeuwarderadeel,-6100.37652
Small Cells,Scenario 2 (100 Mbps),Leeuwarderadeel,-6378.3342
Spectrum Integration,Scenario 2 (100 Mbps),Leeuwarderadeel,-6100.37652
Hybrid,Scenario 3 (300 Mbps),Leeuwarderadeel,-20388.57492
Small Cells,Scenario 3 (300 Mbps),Leeuwarderadeel,-20666.5326
Spectrum Integration,Scenario 3 (300 Mbps),Leeuwarderadeel,-20388.57492
Hybrid,Scenario 1 (30 Mbps),Leiden,11244.42527
Small Cells,Scenario 1 (30 Mbps),Leiden,9383.226766
Spectrum Integration,Scenario 1 (30 Mbps),Leiden,-12031.98516
Hybrid,Scenario 2 (100 Mbps),Leiden,4716.512769
Small Cells,Scenario 2 (100 Mbps),Leiden,4654.180551
Spectrum Integration,Scenario 2 (100 Mbps),Leiden,-66623.59042
Hybrid,Scenario 3 (300 Mbps),Leiden,3490.696219
Small Cells,Scenario 3 (300 Mbps),Leiden,3462.518641
Spectrum Integration,Scenario 3 (300 Mbps),Leiden,-222680.1128
Hybrid,Scenario 1 (30 Mbps),"Leiden,Leiderdorp",6501.779141
Small Cells,Scenario 1 (30 Mbps),"Leiden,Leiderdorp",6362.883605
Spectrum Integration,Scenario 1 (30 Mbps),"Leiden,Leiderdorp",-779.559504
Hybrid,Scenario 2 (100 Mbps),"Leiden,Leiderdorp",3487.637383
Small Cells,Scenario 2 (100 Mbps),"Leiden,Leiderdorp",3348.741847
Spectrum Integration,Scenario 2 (100 Mbps),"Leiden,Leiderdorp",-3793.701264
Hybrid,Scenario 3 (300 Mbps),"Leiden,Leiderdorp",0
Small Cells,Scenario 3 (300 Mbps),"Leiden,Leiderdorp",0
Spectrum Integration,Scenario 3 (300 Mbps),"Leiden,Leiderdorp",-12405.53486
Hybrid,Scenario 1 (30 Mbps),Leiderdorp,5654.231684
Small Cells,Scenario 1 (30 Mbps),Leiderdorp,5184.269072
Spectrum Integration,Scenario 1 (30 Mbps),Leiderdorp,-1388.374548
Hybrid,Scenario 2 (100 Mbps),Leiderdorp,0
Small Cells,Scenario 2 (100 Mbps),Leiderdorp,0
Spectrum Integration,Scenario 2 (100 Mbps),Leiderdorp,-8653.771428
Hybrid,Scenario 3 (300 Mbps),Leiderdorp,5.36E-12
Small Cells,Scenario 3 (300 Mbps),Leiderdorp,0
Spectrum Integration,Scenario 3 (300 Mbps),Leiderdorp,-29412.04823
Hybrid,Scenario 1 (30 Mbps),Leidschendam-Voorburg,34102.4863
Small Cells,Scenario 1 (30 Mbps),Leidschendam-Voorburg,32464.89959
Spectrum Integration,Scenario 1 (30 Mbps),Leidschendam-Voorburg,-5527.094526
Hybrid,Scenario 2 (100 Mbps),Leidschendam-Voorburg,23131.60118
Small Cells,Scenario 2 (100 Mbps),Leidschendam-Voorburg,22976.48219
Spectrum Integration,Scenario 2 (100 Mbps),Leidschendam-Voorburg,-32463.34345
Hybrid,Scenario 3 (300 Mbps),Leidschendam-Voorburg,16207.04919
Small Cells,Scenario 3 (300 Mbps),Leidschendam-Voorburg,16051.9302
Spectrum Integration,Scenario 3 (300 Mbps),Leidschendam-Voorburg,-109424.0546
Hybrid,Scenario 1 (30 Mbps),Lelystad,8740.673062
Small Cells,Scenario 1 (30 Mbps),Lelystad,7054.817854
Spectrum Integration,Scenario 1 (30 Mbps),Lelystad,-7015.666302
Hybrid,Scenario 2 (100 Mbps),Lelystad,64844.1646
Small Cells,Scenario 2 (100 Mbps),Lelystad,62510.2251
Spectrum Integration,Scenario 2 (100 Mbps),Lelystad,-41511.12611
Hybrid,Scenario 3 (300 Mbps),Lelystad,-35565.9614
Small Cells,Scenario 3 (300 Mbps),Lelystad,-37899.9009
Spectrum Integration,Scenario 3 (300 Mbps),Lelystad,-141921.2521
Hybrid,Scenario 1 (30 Mbps),Leudal,112374.5727
Small Cells,Scenario 1 (30 Mbps),Leudal,111592.4314
Spectrum Integration,Scenario 1 (30 Mbps),Leudal,-2216.986344
Hybrid,Scenario 2 (100 Mbps),Leudal,179154.0035
Small Cells,Scenario 2 (100 Mbps),Leudal,177786.964
Spectrum Integration,Scenario 2 (100 Mbps),Leudal,-17203.40753
Hybrid,Scenario 3 (300 Mbps),Leudal,134664.5195
Small Cells,Scenario 3 (300 Mbps),Leudal,133297.48
Spectrum Integration,Scenario 3 (300 Mbps),Leudal,-61692.89153
Hybrid,Scenario 1 (30 Mbps),Leusden,52404.7299
Small Cells,Scenario 1 (30 Mbps),Leusden,51722.22608
Spectrum Integration,Scenario 1 (30 Mbps),Leusden,-3219.922704
Hybrid,Scenario 2 (100 Mbps),Leusden,43406.84136
Small Cells,Scenario 2 (100 Mbps),Leusden,42732.57184
Spectrum Integration,Scenario 2 (100 Mbps),Leusden,-16770.90034
Hybrid,Scenario 3 (300 Mbps),Leusden,23243.31912
Small Cells,Scenario 3 (300 Mbps),Leusden,23026.72177
Spectrum Integration,Scenario 3 (300 Mbps),Leusden,-55578.24514
Hybrid,Scenario 1 (30 Mbps),Lingewaal,10561.2549
Small Cells,Scenario 1 (30 Mbps),Lingewaal,10415.52843
Spectrum Integration,Scenario 1 (30 Mbps),Lingewaal,-420.436176
Hybrid,Scenario 2 (100 Mbps),Lingewaal,64035.84929
Small Cells,Scenario 2 (100 Mbps),Lingewaal,63475.99781
Spectrum Integration,Scenario 2 (100 Mbps),Lingewaal,-4838.452326
Hybrid,Scenario 3 (300 Mbps),Lingewaal,53253.84749
Small Cells,Scenario 3 (300 Mbps),Lingewaal,52775.96715
Spectrum Integration,Scenario 3 (300 Mbps),Lingewaal,-18644.56993
Hybrid,Scenario 1 (30 Mbps),Lingewaard,77134.63308
Small Cells,Scenario 1 (30 Mbps),Lingewaard,75935.76555
Spectrum Integration,Scenario 1 (30 Mbps),Lingewaard,-5466.782373
Hybrid,Scenario 2 (100 Mbps),Lingewaard,54780.75473
Small Cells,Scenario 2 (100 Mbps),Lingewaard,53788.98937
Spectrum Integration,Scenario 2 (100 Mbps),Lingewaard,-28530.66573
Hybrid,Scenario 3 (300 Mbps),Lingewaard,20208.50954
Small Cells,Scenario 3 (300 Mbps),Lingewaard,19817.86584
Spectrum Integration,Scenario 3 (300 Mbps),Lingewaard,-94427.47533
Hybrid,Scenario 1 (30 Mbps),"Lingewaard,Nijmegen",11.18448
Small Cells,Scenario 1 (30 Mbps),"Lingewaard,Nijmegen",11.18448
Spectrum Integration,Scenario 1 (30 Mbps),"Lingewaard,Nijmegen",11.18448
Hybrid,Scenario 2 (100 Mbps),"Lingewaard,Nijmegen",2104.852919
Small Cells,Scenario 2 (100 Mbps),"Lingewaard,Nijmegen",2089.483331
Spectrum Integration,Scenario 2 (100 Mbps),"Lingewaard,Nijmegen",-43.738812
Hybrid,Scenario 3 (300 Mbps),"Lingewaard,Nijmegen",1904.016119
Small Cells,Scenario 3 (300 Mbps),"Lingewaard,Nijmegen",1888.646531
Spectrum Integration,Scenario 3 (300 Mbps),"Lingewaard,Nijmegen",-244.575612
Hybrid,Scenario 1 (30 Mbps),Lisse,16061.35367
Small Cells,Scenario 1 (30 Mbps),Lisse,15501.37818
Spectrum Integration,Scenario 1 (30 Mbps),Lisse,-2559.774672
Hybrid,Scenario 2 (100 Mbps),Lisse,7661.367365
Small Cells,Scenario 2 (100 Mbps),Lisse,7356.252581
Spectrum Integration,Scenario 2 (100 Mbps),Lisse,-13342.03651
Hybrid,Scenario 3 (300 Mbps),Lisse,7.27E-13
Small Cells,Scenario 3 (300 Mbps),Lisse,0
Spectrum Integration,Scenario 3 (300 Mbps),Lisse,-44148.49891
Hybrid,Scenario 1 (30 Mbps),Littenseradiel,-513.60735
Small Cells,Scenario 1 (30 Mbps),Littenseradiel,-907.56585
Spectrum Integration,Scenario 1 (30 Mbps),Littenseradiel,-513.60735
Hybrid,Scenario 2 (100 Mbps),Littenseradiel,-5163.72975
Small Cells,Scenario 2 (100 Mbps),Littenseradiel,-5557.68825
Spectrum Integration,Scenario 2 (100 Mbps),Littenseradiel,-5163.72975
Hybrid,Scenario 3 (300 Mbps),Littenseradiel,-18449.79375
Small Cells,Scenario 3 (300 Mbps),Littenseradiel,-18843.75225
Spectrum Integration,Scenario 3 (300 Mbps),Littenseradiel,-18449.79375
Hybrid,Scenario 1 (30 Mbps),Lochem,44103.70875
Small Cells,Scenario 1 (30 Mbps),Lochem,43697.36991
Spectrum Integration,Scenario 1 (30 Mbps),Lochem,-181.15416
Hybrid,Scenario 2 (100 Mbps),Lochem,246579.4134
Small Cells,Scenario 2 (100 Mbps),Lochem,244801.6644
Spectrum Integration,Scenario 2 (100 Mbps),Lochem,-12116.16923
Hybrid,Scenario 3 (300 Mbps),Lochem,215261.5303
Small Cells,Scenario 3 (300 Mbps),Lochem,213483.7812
Spectrum Integration,Scenario 3 (300 Mbps),Lochem,-50563.61003
Hybrid,Scenario 1 (30 Mbps),Loon op Zand,46831.03191
Small Cells,Scenario 1 (30 Mbps),Loon op Zand,46289.16691
Spectrum Integration,Scenario 1 (30 Mbps),Loon op Zand,-2109.113088
Hybrid,Scenario 2 (100 Mbps),Loon op Zand,49548.93197
Small Cells,Scenario 2 (100 Mbps),Loon op Zand,49004.45008
Spectrum Integration,Scenario 2 (100 Mbps),Loon op Zand,-12135.81575
Hybrid,Scenario 3 (300 Mbps),Loon op Zand,24548.53757
Small Cells,Scenario 3 (300 Mbps),Loon op Zand,24004.05568
Spectrum Integration,Scenario 3 (300 Mbps),Loon op Zand,-41025.05975
Hybrid,Scenario 1 (30 Mbps),Lopik,42801.0776
Small Cells,Scenario 1 (30 Mbps),Lopik,42539.36767
Spectrum Integration,Scenario 1 (30 Mbps),Lopik,-528.855651
Hybrid,Scenario 2 (100 Mbps),Lopik,88936.82874
Small Cells,Scenario 2 (100 Mbps),Lopik,88306.2487
Spectrum Integration,Scenario 2 (100 Mbps),Lopik,-5959.306059
Hybrid,Scenario 3 (300 Mbps),Lopik,72367.34155
Small Cells,Scenario 3 (300 Mbps),Lopik,71736.76151
Spectrum Integration,Scenario 3 (300 Mbps),Lopik,-22528.79326
Hybrid,Scenario 1 (30 Mbps),Loppersum,-450.87945
Small Cells,Scenario 1 (30 Mbps),Loppersum,-777.91707
Spectrum Integration,Scenario 1 (30 Mbps),Loppersum,-450.87945
Hybrid,Scenario 2 (100 Mbps),Loppersum,-4368.30303
Small Cells,Scenario 2 (100 Mbps),Loppersum,-4695.34065
Spectrum Integration,Scenario 2 (100 Mbps),Loppersum,-4368.30303
Hybrid,Scenario 3 (300 Mbps),Loppersum,-15560.94183
Small Cells,Scenario 3 (300 Mbps),Loppersum,-15887.97945
Spectrum Integration,Scenario 3 (300 Mbps),Loppersum,-15560.94183
Hybrid,Scenario 1 (30 Mbps),Losser,25401.98025
Small Cells,Scenario 1 (30 Mbps),Losser,25151.51289
Spectrum Integration,Scenario 1 (30 Mbps),Losser,-858.58536
Hybrid,Scenario 2 (100 Mbps),Losser,52601.55558
Small Cells,Scenario 2 (100 Mbps),Losser,52117.9828
Spectrum Integration,Scenario 2 (100 Mbps),Losser,-6245.984622
Hybrid,Scenario 3 (300 Mbps),Losser,36542.97078
Small Cells,Scenario 3 (300 Mbps),Losser,36059.398
Spectrum Integration,Scenario 3 (300 Mbps),Losser,-22304.56942
Hybrid,Scenario 1 (30 Mbps),"Losser,Oldenzaal",256.62168
Small Cells,Scenario 1 (30 Mbps),"Losser,Oldenzaal",256.62168
Spectrum Integration,Scenario 1 (30 Mbps),"Losser,Oldenzaal",256.62168
Hybrid,Scenario 2 (100 Mbps),"Losser,Oldenzaal",48294.68087
Small Cells,Scenario 2 (100 Mbps),"Losser,Oldenzaal",47942.03421
Spectrum Integration,Scenario 2 (100 Mbps),"Losser,Oldenzaal",-1003.562742
Hybrid,Scenario 3 (300 Mbps),"Losser,Oldenzaal",43686.59207
Small Cells,Scenario 3 (300 Mbps),"Losser,Oldenzaal",43333.94541
Spectrum Integration,Scenario 3 (300 Mbps),"Losser,Oldenzaal",-5611.651542
Hybrid,Scenario 1 (30 Mbps),Maasdriel,47568.04455
Small Cells,Scenario 1 (30 Mbps),Maasdriel,46985.85025
Spectrum Integration,Scenario 1 (30 Mbps),Maasdriel,-2565.762519
Hybrid,Scenario 2 (100 Mbps),Maasdriel,76200.04476
Small Cells,Scenario 2 (100 Mbps),Maasdriel,75323.26669
Spectrum Integration,Scenario 2 (100 Mbps),Maasdriel,-15115.10383
Hybrid,Scenario 3 (300 Mbps),Maasdriel,51935.59203
Small Cells,Scenario 3 (300 Mbps),Maasdriel,51395.80641
Spectrum Integration,Scenario 3 (300 Mbps),Maasdriel,-51812.03263
Hybrid,Scenario 1 (30 Mbps),Maasgouw,68504.87556
Small Cells,Scenario 1 (30 Mbps),Maasgouw,67853.3758
Spectrum Integration,Scenario 1 (30 Mbps),Maasgouw,-2756.750202
Hybrid,Scenario 2 (100 Mbps),Maasgouw,56466.42732
Small Cells,Scenario 2 (100 Mbps),Maasgouw,55814.92756
Spectrum Integration,Scenario 2 (100 Mbps),Maasgouw,-14795.19844
Hybrid,Scenario 3 (300 Mbps),Maasgouw,30387.17938
Small Cells,Scenario 3 (300 Mbps),Maasgouw,29961.10025
Spectrum Integration,Scenario 3 (300 Mbps),Maasgouw,-49190.76484
Hybrid,Scenario 1 (30 Mbps),Maassluis,8110.838731
Small Cells,Scenario 1 (30 Mbps),Maassluis,7396.888236
Spectrum Integration,Scenario 1 (30 Mbps),Maassluis,-3228.950964
Hybrid,Scenario 2 (100 Mbps),Maassluis,2663.659219
Small Cells,Scenario 2 (100 Mbps),Maassluis,2607.019441
Spectrum Integration,Scenario 2 (100 Mbps),Maassluis,-18543.08875
Hybrid,Scenario 3 (300 Mbps),Maassluis,1375.122753
Small Cells,Scenario 3 (300 Mbps),Maassluis,1364.022495
Spectrum Integration,Scenario 3 (300 Mbps),Maassluis,-62329.48315
Hybrid,Scenario 1 (30 Mbps),Maastricht,59594.98704
Small Cells,Scenario 1 (30 Mbps),Maastricht,57025.51483
Spectrum Integration,Scenario 1 (30 Mbps),Maastricht,-10950.44148
Hybrid,Scenario 2 (100 Mbps),Maastricht,28233.69955
Small Cells,Scenario 2 (100 Mbps),Maastricht,27359.34076
Spectrum Integration,Scenario 2 (100 Mbps),Maastricht,-59752.52208
Hybrid,Scenario 3 (300 Mbps),Maastricht,3344.898751
Small Cells,Scenario 3 (300 Mbps),Maastricht,3235.603903
Spectrum Integration,Scenario 3 (300 Mbps),Maastricht,-199187.0381
Hybrid,Scenario 1 (30 Mbps),Marum,-947.58621
Small Cells,Scenario 1 (30 Mbps),Marum,-1193.81895
Spectrum Integration,Scenario 1 (30 Mbps),Marum,-947.58621
Hybrid,Scenario 2 (100 Mbps),Marum,-5316.01251
Small Cells,Scenario 2 (100 Mbps),Marum,-5562.24525
Spectrum Integration,Scenario 2 (100 Mbps),Marum,-5316.01251
Hybrid,Scenario 3 (300 Mbps),Marum,-17797.23051
Small Cells,Scenario 3 (300 Mbps),Marum,-18043.46325
Spectrum Integration,Scenario 3 (300 Mbps),Marum,-17797.23051
Hybrid,Scenario 1 (30 Mbps),Medemblik,-4144.23213
Small Cells,Scenario 1 (30 Mbps),Medemblik,-4996.91799
Spectrum Integration,Scenario 1 (30 Mbps),Medemblik,-4144.23213
Hybrid,Scenario 2 (100 Mbps),Medemblik,-21284.99619
Small Cells,Scenario 2 (100 Mbps),Medemblik,-22137.68205
Spectrum Integration,Scenario 2 (100 Mbps),Medemblik,-21284.99619
Hybrid,Scenario 3 (300 Mbps),Medemblik,-70258.60779
Small Cells,Scenario 3 (300 Mbps),Medemblik,-71111.29365
Spectrum Integration,Scenario 3 (300 Mbps),Medemblik,-70258.60779
Hybrid,Scenario 1 (30 Mbps),Meerssen,32214.45767
Small Cells,Scenario 1 (30 Mbps),Meerssen,31760.05865
Spectrum Integration,Scenario 1 (30 Mbps),Meerssen,-2282.376237
Hybrid,Scenario 2 (100 Mbps),Meerssen,22978.89624
Small Cells,Scenario 2 (100 Mbps),Meerssen,22524.49721
Spectrum Integration,Scenario 2 (100 Mbps),Meerssen,-11517.93768
Hybrid,Scenario 3 (300 Mbps),Meerssen,8268.024957
Small Cells,Scenario 3 (300 Mbps),Meerssen,8130.125598
Spectrum Integration,Scenario 3 (300 Mbps),Meerssen,-37905.25608
Hybrid,Scenario 1 (30 Mbps),Meierijstad,151105.5522
Small Cells,Scenario 1 (30 Mbps),Meierijstad,149466.7131
Spectrum Integration,Scenario 1 (30 Mbps),Meierijstad,-6338.475225
Hybrid,Scenario 2 (100 Mbps),Meierijstad,188025.141
Small Cells,Scenario 2 (100 Mbps),Meierijstad,186148.7704
Spectrum Integration,Scenario 2 (100 Mbps),Meierijstad,-37697.78705
Hybrid,Scenario 3 (300 Mbps),Meierijstad,123224.304
Small Cells,Scenario 3 (300 Mbps),Meierijstad,121757.7891
Spectrum Integration,Scenario 3 (300 Mbps),Meierijstad,-128637.6102
Hybrid,Scenario 1 (30 Mbps),Menameradiel,-1419.52026
Small Cells,Scenario 1 (30 Mbps),Menameradiel,-1721.6361
Spectrum Integration,Scenario 1 (30 Mbps),Menameradiel,-1419.52026
Hybrid,Scenario 2 (100 Mbps),Menameradiel,-7378.75116
Small Cells,Scenario 2 (100 Mbps),Menameradiel,-7680.867
Spectrum Integration,Scenario 2 (100 Mbps),Menameradiel,-7378.75116
Hybrid,Scenario 3 (300 Mbps),Menameradiel,-24405.12516
Small Cells,Scenario 3 (300 Mbps),Menameradiel,-24707.241
Spectrum Integration,Scenario 3 (300 Mbps),Menameradiel,-24405.12516
Hybrid,Scenario 1 (30 Mbps),Menterwolde,-676.90794
Small Cells,Scenario 1 (30 Mbps),Menterwolde,-987.7707
Spectrum Integration,Scenario 1 (30 Mbps),Menterwolde,-676.90794
Hybrid,Scenario 2 (100 Mbps),Menterwolde,-4980.01374
Small Cells,Scenario 2 (100 Mbps),Menterwolde,-5290.8765
Spectrum Integration,Scenario 2 (100 Mbps),Menterwolde,-4980.01374
Hybrid,Scenario 3 (300 Mbps),Menterwolde,-17274.60174
Small Cells,Scenario 3 (300 Mbps),Menterwolde,-17585.4645
Spectrum Integration,Scenario 3 (300 Mbps),Menterwolde,-17274.60174
Hybrid,Scenario 1 (30 Mbps),Meppel,-3147.51264
Small Cells,Scenario 1 (30 Mbps),Meppel,-3820.92708
Spectrum Integration,Scenario 1 (30 Mbps),Meppel,-3147.51264
Hybrid,Scenario 2 (100 Mbps),Meppel,-16376.92968
Small Cells,Scenario 2 (100 Mbps),Meppel,-17050.34412
Spectrum Integration,Scenario 2 (100 Mbps),Meppel,-16376.92968
Hybrid,Scenario 3 (300 Mbps),Meppel,-54175.26408
Small Cells,Scenario 3 (300 Mbps),Meppel,-54848.67852
Spectrum Integration,Scenario 3 (300 Mbps),Meppel,-54175.26408
Hybrid,Scenario 1 (30 Mbps),Middelburg,42740.60816
Small Cells,Scenario 1 (30 Mbps),Middelburg,41632.20538
Spectrum Integration,Scenario 1 (30 Mbps),Middelburg,-4289.677515
Hybrid,Scenario 2 (100 Mbps),Middelburg,40179.67894
Small Cells,Scenario 2 (100 Mbps),Middelburg,39593.49993
Spectrum Integration,Scenario 2 (100 Mbps),Middelburg,-24335.52502
Hybrid,Scenario 3 (300 Mbps),Middelburg,24388.44086
Small Cells,Scenario 3 (300 Mbps),Middelburg,24173.40894
Spectrum Integration,Scenario 3 (300 Mbps),Middelburg,-81892.37062
Hybrid,Scenario 1 (30 Mbps),Midden-Delfland,28273.35165
Small Cells,Scenario 1 (30 Mbps),Midden-Delfland,28027.72286
Spectrum Integration,Scenario 1 (30 Mbps),Midden-Delfland,-852.002934
Hybrid,Scenario 2 (100 Mbps),Midden-Delfland,53692.07981
Small Cells,Scenario 2 (100 Mbps),Midden-Delfland,53227.00746
Spectrum Integration,Scenario 2 (100 Mbps),Midden-Delfland,-6110.390052
Hybrid,Scenario 3 (300 Mbps),Midden-Delfland,41905.28298
Small Cells,Scenario 3 (300 Mbps),Midden-Delfland,41544.95153
Spectrum Integration,Scenario 3 (300 Mbps),Midden-Delfland,-21761.33485
Hybrid,Scenario 1 (30 Mbps),"Midden-Delfland,Rotterdam",39.14568
Small Cells,Scenario 1 (30 Mbps),"Midden-Delfland,Rotterdam",39.14568
Spectrum Integration,Scenario 1 (30 Mbps),"Midden-Delfland,Rotterdam",39.14568
Hybrid,Scenario 2 (100 Mbps),"Midden-Delfland,Rotterdam",7366.985218
Small Cells,Scenario 2 (100 Mbps),"Midden-Delfland,Rotterdam",7313.19166
Spectrum Integration,Scenario 2 (100 Mbps),"Midden-Delfland,Rotterdam",-153.085842
Hybrid,Scenario 3 (300 Mbps),"Midden-Delfland,Rotterdam",6664.056418
Small Cells,Scenario 3 (300 Mbps),"Midden-Delfland,Rotterdam",6610.26286
Spectrum Integration,Scenario 3 (300 Mbps),"Midden-Delfland,Rotterdam",-856.014642
Hybrid,Scenario 1 (30 Mbps),Midden-Drenthe,-1574.0958
Small Cells,Scenario 1 (30 Mbps),Midden-Drenthe,-2792.4168
Spectrum Integration,Scenario 1 (30 Mbps),Midden-Drenthe,-1574.0958
Hybrid,Scenario 2 (100 Mbps),Midden-Drenthe,-15918.03912
Small Cells,Scenario 2 (100 Mbps),Midden-Drenthe,-17136.36012
Spectrum Integration,Scenario 2 (100 Mbps),Midden-Drenthe,-15918.03912
Hybrid,Scenario 3 (300 Mbps),Midden-Drenthe,-56900.73432
Small Cells,Scenario 3 (300 Mbps),Midden-Drenthe,-58119.05532
Spectrum Integration,Scenario 3 (300 Mbps),Midden-Drenthe,-56900.73432
Hybrid,Scenario 1 (30 Mbps),Mill en Sint Hubert,23999.37281
Small Cells,Scenario 1 (30 Mbps),Mill en Sint Hubert,23854.92714
Spectrum Integration,Scenario 1 (30 Mbps),Mill en Sint Hubert,-231.967275
Hybrid,Scenario 2 (100 Mbps),Mill en Sint Hubert,59661.20234
Small Cells,Scenario 2 (100 Mbps),Mill en Sint Hubert,59238.39636
Spectrum Integration,Scenario 2 (100 Mbps),Mill en Sint Hubert,-3483.521319
Hybrid,Scenario 3 (300 Mbps),Mill en Sint Hubert,49575.73275
Small Cells,Scenario 3 (300 Mbps),Mill en Sint Hubert,49152.92677
Spectrum Integration,Scenario 3 (300 Mbps),Mill en Sint Hubert,-13568.99092
Hybrid,Scenario 1 (30 Mbps),Moerdijk,99496.01974
Small Cells,Scenario 1 (30 Mbps),Moerdijk,98603.16053
Spectrum Integration,Scenario 1 (30 Mbps),Moerdijk,-3278.284746
Hybrid,Scenario 2 (100 Mbps),Moerdijk,170886.9358
Small Cells,Scenario 2 (100 Mbps),Moerdijk,169349.4078
Spectrum Integration,Scenario 2 (100 Mbps),Moerdijk,-22008.85516
Hybrid,Scenario 3 (300 Mbps),Moerdijk,130565.6852
Small Cells,Scenario 3 (300 Mbps),Moerdijk,129435.7359
Spectrum Integration,Scenario 3 (300 Mbps),Moerdijk,-77366.68156
Hybrid,Scenario 1 (30 Mbps),Molenwaard,49054.62277
Small Cells,Scenario 1 (30 Mbps),Molenwaard,48579.16172
Spectrum Integration,Scenario 1 (30 Mbps),Molenwaard,-1556.649129
Hybrid,Scenario 2 (100 Mbps),Molenwaard,139655.6926
Small Cells,Scenario 2 (100 Mbps),Molenwaard,138449.3222
Spectrum Integration,Scenario 2 (100 Mbps),Molenwaard,-13133.05275
Hybrid,Scenario 3 (300 Mbps),Molenwaard,113816.2985
Small Cells,Scenario 3 (300 Mbps),Molenwaard,112862.6724
Spectrum Integration,Scenario 3 (300 Mbps),Molenwaard,-48296.80395
